holiday,temp,rain,snow,weather,date,Time,traffic_volume
No Holiday,288.28,0.0,0.0,Clouds,02-10-2012,09:00:00,5545
No Holiday,289.36,0.0,0.0,Clouds,02-10-2012,10:00:00,4516
No Holiday,289.58,0.0,0.0,Clouds,02-10-2012,11:00:00,4767
No Holiday,290.13,0.0,0.0,Clouds,02-10-2012,12:00:00,5026
No Holiday,291.14,0.0,0.0,Clouds,02-10-2012,13:00:00,4918
No Holiday,291.72,0.0,0.0,Clear,02-10-2012,14:00:00,5181
No Holiday,293.17,0.0,0.0,Clear,02-10-2012,15:00:00,5584
No Holiday,293.86,0.0,0.0,Clear,02-10-2012,16:00:00,6015
No Holiday,294.14,0.0,0.0,Clouds,02-10-2012,17:00:00,5791
No Holiday,293.1,0.0,0.0,Clouds,02-10-2012,18:00:00,4770
No Holiday,290.97,0.0,0.0,Clouds,02-10-2012,19:00:00,3539
No Holiday,289.38,0.0,0.0,Clear,02-10-2012,20:00:00,2784
No Holiday,288.61,0.0,0.0,Clear,02-10-2012,21:00:00,2361
No Holiday,287.16,0.0,0.0,Clear,02-10-2012,22:00:00,1529
No Holiday,285.45,0.0,0.0,Clear,02-10-2012,23:00:00,963
No Holiday,284.63,0.0,0.0,Clear,03-10-2012,00:00:00,506
No Holiday,283.47,0.0,0.0,Clear,03-10-2012,01:00:00,321
No Holiday,281.18,0.0,0.0,Clear,03-10-2012,02:00:00,273
No Holiday,281.09,0.0,0.0,Clear,03-10-2012,03:00:00,367
No Holiday,279.53,0.0,0.0,Clear,03-10-2012,04:00:00,814
No Holiday,278.62,0.0,0.0,Clear,03-10-2012,05:00:00,2718
No Holiday,278.23,0.0,0.0,Clear,03-10-2012,06:00:00,5673
No Holiday,278.12,0.0,0.0,Clear,03-10-2012,08:00:00,6511
No Holiday,,0.0,0.0,Clear,03-10-2012,09:00:00,5471
No Holiday,291.97,0.0,0.0,Clear,03-10-2012,12:00:00,5097
No Holiday,293.23,0.0,0.0,Clear,03-10-2012,13:00:00,4887
No Holiday,294.31,0.0,0.0,Clear,03-10-2012,14:00:00,5337
No Holiday,295.17,0.0,0.0,Clear,03-10-2012,15:00:00,5692
No Holiday,295.13,0.0,0.0,Clear,03-10-2012,16:00:00,6137
No Holiday,,0.0,0.0,Clouds,03-10-2012,18:00:00,4623
No Holiday,290.65,0.0,0.0,Clouds,03-10-2012,19:00:00,3591
No Holiday,288.19,0.0,0.0,Clouds,03-10-2012,20:00:00,2898
No Holiday,287.1,0.0,0.0,Clear,03-10-2012,21:00:00,2637
No Holiday,286.25,0.0,0.0,Clear,03-10-2012,22:00:00,1777
No Holiday,285.26,0.0,0.0,Clear,03-10-2012,23:00:00,1015
No Holiday,284.55,0.0,0.0,Clear,04-10-2012,00:00:00,598
No Holiday,283.47,0.0,0.0,Clear,04-10-2012,01:00:00,369
No Holiday,283.17,0.0,0.0,Clear,04-10-2012,02:00:00,312
No Holiday,282.04,0.0,0.0,Clear,04-10-2012,03:00:00,367
No Holiday,281.69,0.0,0.0,Clear,04-10-2012,04:00:00,835
No Holiday,281.32,0.0,0.0,Clear,04-10-2012,05:00:00,2726
No Holiday,280.74,0.0,0.0,Clear,04-10-2012,06:00:00,5689
No Holiday,280.57,0.0,0.0,Clear,04-10-2012,07:00:00,6990
No Holiday,,0.0,0.0,Clear,04-10-2012,08:00:00,5985
No Holiday,284.98,0.0,0.0,Clear,04-10-2012,09:00:00,5309
No Holiday,289.18,0.0,0.0,Clear,04-10-2012,10:00:00,4603
No Holiday,291.55,0.0,0.0,Clear,04-10-2012,11:00:00,4884
No Holiday,294.97,0.0,0.0,Clear,04-10-2012,12:00:00,5104
No Holiday,296.38,0.0,0.0,Clear,04-10-2012,13:00:00,5178
No Holiday,297.32,0.0,0.0,Clear,04-10-2012,14:00:00,5501
No Holiday,298.17,0.0,0.0,Clear,04-10-2012,15:00:00,5713
No Holiday,298.06,0.0,0.0,Clouds,04-10-2012,16:00:00,6292
No Holiday,297.67,0.0,0.0,Clouds,04-10-2012,17:00:00,6057
No Holiday,296.36,0.0,0.0,Clouds,04-10-2012,18:00:00,4907
No Holiday,293.85,0.0,0.0,Clouds,04-10-2012,19:00:00,3503
No Holiday,292.43,0.0,0.0,Clouds,04-10-2012,20:00:00,3037
No Holiday,291.77,0.0,0.0,Clouds,04-10-2012,21:00:00,2822
No Holiday,,0.0,0.0,Clouds,04-10-2012,22:00:00,1992
No Holiday,291.12,0.0,0.0,Clouds,04-10-2012,23:00:00,1166
No Holiday,290.63,0.0,0.0,Clouds,05-10-2012,00:00:00,627
No Holiday,290.46,0.0,0.0,Clouds,05-10-2012,01:00:00,388
No Holiday,289.26,0.0,0.0,Clear,05-10-2012,03:00:00,368
No Holiday,283.21,0.0,0.0,Clouds,05-10-2012,05:00:00,2489
No Holiday,282.24,0.0,0.0,Clouds,05-10-2012,06:00:00,5537
No Holiday,281.69,0.0,0.0,Clouds,05-10-2012,07:00:00,6628
No Holiday,280.57,0.0,0.0,Clouds,05-10-2012,08:00:00,5534
No Holiday,280.02,0.0,0.0,Clouds,05-10-2012,09:00:00,5403
No Holiday,280.11,0.0,0.0,Clouds,05-10-2012,10:00:00,4770
No Holiday,280.0,0.0,0.0,Clouds,05-10-2012,11:00:00,5217
No Holiday,280.53,0.0,0.0,Clouds,05-10-2012,12:00:00,5870
No Holiday,281.43,0.0,0.0,Clouds,05-10-2012,13:00:00,5967
No Holiday,281.78,0.0,0.0,Clouds,05-10-2012,14:00:00,6108
No Holiday,,0.0,0.0,Clouds,05-10-2012,15:00:00,6128
No Holiday,281.73,0.0,0.0,Clouds,05-10-2012,16:00:00,6069
No Holiday,281.42,0.0,0.0,Clouds,05-10-2012,17:00:00,6169
No Holiday,280.87,0.0,0.0,Clouds,05-10-2012,18:00:00,5384
No Holiday,280.15,0.0,0.0,Clouds,05-10-2012,19:00:00,4063
No Holiday,279.78,0.0,0.0,Clouds,05-10-2012,20:00:00,3364
No Holiday,279.65,0.0,0.0,Clouds,05-10-2012,21:00:00,2971
No Holiday,279.22,0.0,0.0,Clouds,05-10-2012,22:00:00,2450
No Holiday,279.06,0.0,0.0,Clouds,05-10-2012,23:00:00,1832
No Holiday,,0.0,0.0,Clouds,06-10-2012,00:00:00,1231
No Holiday,278.55,0.0,0.0,Clouds,06-10-2012,01:00:00,718
No Holiday,278.59,0.0,0.0,Clouds,06-10-2012,02:00:00,545
No Holiday,276.99,0.0,0.0,Clouds,06-10-2012,04:00:00,411
No Holiday,276.35,0.0,0.0,Clouds,06-10-2012,05:00:00,688
No Holiday,275.4,0.0,0.0,Clear,06-10-2012,06:00:00,1352
No Holiday,275.17,0.0,0.0,Clear,06-10-2012,07:00:00,2072
No Holiday,274.99,0.0,0.0,Clear,06-10-2012,08:00:00,3342
No Holiday,275.09,0.0,0.0,Clouds,06-10-2012,09:00:00,4258
No Holiday,276.88,0.0,0.0,Clouds,06-10-2012,10:00:00,4861
No Holiday,278.04,0.0,0.0,Clouds,06-10-2012,11:00:00,5191
No Holiday,279.08,0.0,0.0,Clouds,06-10-2012,12:00:00,5669
No Holiday,280.12,0.0,0.0,Clouds,06-10-2012,13:00:00,5074
No Holiday,280.25,0.0,0.0,Clouds,06-10-2012,14:00:00,5025
No Holiday,280.0,0.0,0.0,Clouds,06-10-2012,15:00:00,5153
